scaffold00041|napA|11714_16260,4.80942
scaffold00093|napA|12821_16887,5.71272
scaffold00127|napA|13306_18002,4.28339
scaffold00237|napA|2585_5460,5.56272
scaffold00321|napA|13912_18008,4.88415
scaffold00331|napA|14924_17172,36.294
scaffold00346|napA|7543_11423,4.94352
scaffold00355|napA|8051_12591,4.70192
scaffold00488|napA|11265_15145,4.71392
scaffold00502|napA|1153_3713,4.24518
scaffold00525|napA|7209_10984,7.60994
scaffold00535|napA|0_2722,13.9735
scaffold00672|napA|12096_14096,12.7005
scaffold00743|napA|595_3983,17.2835
scaffold00770|napA|7765_11222,3.83374
scaffold00782|napA|4833_8869,3.47437
scaffold00811|napA|0_2423,5.50676
scaffold00843|napA|6176_10122,4.84409
scaffold00905|napA|7881_11881,6.78034
scaffold00933|napA|2261_6612,2.83099
scaffold01128|napA|1346_5229,6.42388
scaffold01300|napA|6644_9841,3.75343
scaffold01342|napA|5611_9680,4.36247
scaffold01347|napA|0_3485,5.60499
scaffold01413|napA|0_3701,5.99396
scaffold01482|napA|1330_5864,29.173
scaffold01698|napA|4222_8422,3.103
scaffold01727|napA|0_2221,3.58092
scaffold01755|napA|4648_8233,2.16594
scaffold01783|napA|814_5045,4.22139
scaffold01870|napA|0_2146,6.15638
scaffold01990|napA|0_3132,7.95768
scaffold02138|napA|0_1386,3.92181
scaffold02347|napA|3344_7038,7.86021
scaffold02872|napA|1405_5471,3.61373
scaffold03044|napA|1197_5263,17.3546
scaffold03187|napA|4018_5858,5.12998
scaffold03201|napA|2035_5842,3.7672
scaffold03271|napA|3342_5760,4.94041
scaffold03387|napA|0_2988,4.44306
scaffold03493|napA|0_1515,9.55014
scaffold03496|napA|3285_5525,11.5012
scaffold04049|napA|2915_5078,3.51933
scaffold04082|napA|3059_5051,2.49066
scaffold04388|napA|0_4091,15.3801
scaffold04816|napA|382_3788,8.0665
scaffold04820|napA|3226_4572,5.232
scaffold05168|napA|1184_4405,3.96789
scaffold05213|napA|1234_4383,9.45504
scaffold05330|napA|755_3771,5.05823
scaffold05460|napA|0_2193,9.18956
scaffold05673|napA|218_4157,8.14182
scaffold05689|napA|328_3242,3.6236
scaffold05963|napA|1422_4032,3.70446
scaffold05981|napA|1233_4022,4.03058
scaffold06073|napA|1581_3983,16.8754
scaffold06220|napA|25_3626,7.62346
scaffold06554|napA|0_3762,3.70995
scaffold06587|napA|503_3777,5.97976
scaffold06828|napA|0_1761,4.79173
scaffold06862|napA|0_2399,6.90993
scaffold07230|napA|0_3422,4.07867
scaffold07761|napA|0_2972,18.3454
scaffold08171|napA|0_2388,30.577
scaffold08334|napA|32_3224,4.08321
scaffold08554|napA|0_2645,1.4971
scaffold09525|napA|0_1458,4.51286
scaffold10022|napA|0_1881,10.7614
scaffold101401|napA|0_517,1.64078
scaffold10201|napA|0_2799,14.7286
scaffold10247|napA|0_2413,5.32902
scaffold103018|napA|0_512,3.50733
scaffold103344|napA|0_511,1.20733
scaffold103373|napA|0_511,2.00504
scaffold104206|napA|0_509,1.51511
scaffold104270|napA|0_509,3.28995
scaffold104588|napA|0_508,2.0169
scaffold10535|napA|0_2741,6.30428
scaffold106144|napA|0_503,1.33609
scaffold107373|napA|0_500,3.70185
scaffold107422|napA|0_500,2.20348
scaffold107603|napA|0_499,1.43514
scaffold107966|napA|0_498,1.74775
scaffold108755|napA|0_496,1.86588
scaffold109764|napA|0_493,3.84391
scaffold110833|napA|0_490,1.10179
scaffold112238|napA|0_487,1.19908
scaffold112269|napA|0_486,1.29224
scaffold113753|napA|0_483,2.53213
scaffold11391|napA|491_2597,8.03367
scaffold11476|napA|665_2584,4.00718
scaffold117952|napA|0_472,1.37734
scaffold117986|napA|0_472,3.89857
scaffold119474|napA|0_469,1.12773
scaffold119623|napA|0_468,0.894698
scaffold119687|napA|0_468,1.67167
scaffold119707|napA|0_468,2.33092
scaffold120001|napA|0_468,1.5304
scaffold12150|napA|0_2477,11.9501
scaffold123077|napA|0_461,1.41028
scaffold12523|napA|0_2424,4.59237
scaffold126484|napA|0_454,2.40296
scaffold128433|napA|0_450,3.84471
scaffold13195|napA|290_2332,4.94549
scaffold135205|napA|0_436,1.06162
scaffold136171|napA|0_435,3.04019
scaffold136186|napA|0_434,4.18992
scaffold13650|napA|0_2270,5.23843
scaffold138787|napA|0_430,1.81975
scaffold140650|napA|0_427,1.16148
scaffold141574|napA|0_425,2.61918
scaffold141923|napA|0_424,1.37767
scaffold142539|napA|0_423,4.01253
scaffold142746|napA|0_423,1.61543
scaffold14513|napA|0_2171,6.53642
scaffold14706|napA|0_2152,1.36995
scaffold147529|napA|0_415,3.53233
scaffold147730|napA|0_415,2.31062
scaffold148942|napA|0_412,1.04336
scaffold15066|napA|0_2112,5.29194
scaffold151317|napA|0_409,0.97018
scaffold153035|napA|0_406,1.16741
scaffold153160|napA|0_406,1.98188
scaffold15408|napA|681_2077,2.16755
scaffold154834|napA|0_403,5.16946
scaffold155520|napA|0_402,1.89197
scaffold15938|napA|0_2023,1.7238
scaffold16035|napA|393_2013,9.58275
scaffold16352|napA|0_1985,7.23788
scaffold166219|napA|0_387,0.940019
scaffold16930|napA|0_1291,1.57686
scaffold172508|napA|0_379,2.38524
scaffold173340|napA|0_378,8.39964
scaffold17592|napA|0_1874,0.833605
scaffold177831|napA|0_373,1.12318
scaffold17790|napA|0_1520,2.67827
scaffold178093|napA|0_372,2.72661
scaffold17863|napA|372_1853,1.93162
scaffold179062|napA|0_371,1.63445
scaffold182492|napA|0_367,4.5063
scaffold18602|napA|0_1796,2.05819
scaffold18754|napA|0_1640,3.35429
scaffold19011|napA|0_1765,12.055
scaffold192575|napA|0_356,1.05308
scaffold19311|napA|0_1742,3.2904
scaffold195832|napA|0_352,2.72535
scaffold19678|napA|0_1597,3.19665
scaffold201879|napA|0_346,0.669283
scaffold202971|napA|0_345,1.53424
scaffold203012|napA|0_345,3.1324
scaffold203896|napA|0_344,0.833468
scaffold20573|napA|0_1650,4.52084
scaffold206691|napA|0_342,3.70812
scaffold210660|napA|0_338,1.23983
scaffold219268|napA|0_330,1.57077
scaffold22083|napA|0_1553,2.01204
scaffold223213|napA|0_327,1.21421
scaffold22336|napA|0_1538,3.30505
scaffold227473|napA|0_324,1.3957
scaffold228367|napA|0_323,1.91224
scaffold22859|napA|0_1508,4.84467
scaffold230468|napA|0_321,0.996455
scaffold23103|napA|0_1495,2.50965
scaffold233410|napA|0_319,1.86714
scaffold239413|napA|0_315,1.54075
scaffold24306|napA|0_1433,11.9936
scaffold243259|napA|0_312,1.37884
scaffold24422|napA|0_1426,2.46914
scaffold244346|napA|0_311,2.12814
scaffold247756|napA|0_309,1.78496
scaffold249020|napA|0_308,5.04999
scaffold25016|napA|0_1398,3.49459
scaffold252686|napA|0_305,0.831886
scaffold253833|napA|0_304,1.52411
scaffold255979|napA|0_303,1.09226
