scaffold00061|napA|36245_40179,2.30683
scaffold00076|napA|6941_11616,0.399906
scaffold00104|napA|16414_20483,0.185857
scaffold00208|napA|0_3422,0.233285
scaffold00212|napA|11818_16364,168.255
scaffold00230|napA|20610_23575,0.0141712
scaffold00241|napA|19810_24350,9.44826
scaffold00317|napA|20282_23172,1.30852
scaffold00398|napA|7555_11435,0.194912
scaffold00624|napA|2998_7520,0.492411
scaffold00675|napA|14115_16363,14.3003
scaffold00695|napA|11449_14552,5.42986
scaffold00722|napA|0_3018,0.0835338
scaffold00731|napA|3920_7974,0.103636
scaffold00748|napA|11640_14257,0.497749
scaffold00782|napA|11616_15601,1.26517
scaffold00812|napA|1769_5814,0.727065
scaffold00950|napA|7892_10965,0.205096
scaffold00960|napA|7006_10952,6.83024
scaffold00970|napA|1528_6062,43.2684
scaffold01008|napA|794_4185,2.99849
scaffold01008|napA|9824_13598,9.91364
scaffold01061|napA|7448_10170,3.24945
scaffold01063|napA|4954_8948,4.7968
scaffold01150|napA|10171_12584,0.940378
scaffold01305|napA|2652_6145,0.0481141
scaffold01324|napA|7495_10883,1.27735
scaffold01479|napA|7198_10780,19.5884
scaffold01562|napA|3016_6500,0.482384
scaffold01594|napA|225_4489,0.0886775
scaffold01667|napA|0_2720,0.231723
scaffold01734|napA|2200_6212,0.984377
scaffold01770|napA|3932_7236,0.0254336
scaffold01819|napA|806_5355,0.701907
scaffold01879|napA|1775_5736,0.116677
scaffold02319|napA|0_3506,116.717
scaffold02523|napA|3752_7821,0.185857
scaffold02848|napA|1270_5453,86.4528
scaffold02938|napA|4951_7154,0.553181
scaffold03055|napA|979_5045,2.87257
scaffold03067|napA|3432_6975,4.26914
scaffold03162|napA|809_5160,0.444176
scaffold03396|napA|1637_5487,2.13346
scaffold03473|napA|1762_5945,0.160702
scaffold03491|napA|1917_5986,2.21995
scaffold03607|napA|2880_6300,0.663408
scaffold03612|napA|0_1942,0
scaffold03617|napA|8_3492,0.192954
scaffold03818|napA|2088_5257,3.12242
scaffold03910|napA|3735_5959,1.74779
scaffold04145|napA|2648_5754,9.52352
scaffold04176|napA|0_1530,0.274713
scaffold04392|napA|0_1377,0
scaffold04618|napA|1830_4390,19.6558
scaffold04825|napA|2920_5253,0.378248
scaffold05233|napA|1377_4973,1.20928
scaffold05253|napA|0_2910,0.389858
scaffold06154|napA|2470_4487,0.229186
scaffold06192|napA|170_4283,52.0295
scaffold06365|napA|1234_4383,0.126758
scaffold06540|napA|0_3614,59.5293
scaffold06639|napA|0_2804,1.3187
scaffold06777|napA|1131_4211,0.586604
scaffold07404|napA|2348_3973,2.54763
scaffold07433|napA|0_3319,1.13301
scaffold07554|napA|1150_3921,0.151637
